image_path,label
data\pages\passport_edge\passport_edge_00193_p02.jpg,1
data\pages\filler_text\passport_normal_00194_p01.jpg,0
data\pages\passport_normal\passport_normal_00194_p02.jpg,1
data\pages\filler_text\passport_edge_00195_p01.jpg,0
data\pages\passport_edge\passport_edge_00195_p02.jpg,1
data\pages\passport_normal\passport_normal_00196_p01.jpg,1
data\pages\filler_text\passport_normal_00196_p02.jpg,0
data\pages\filler_text\passport_normal_00196_p03.jpg,0
data\pages\passport_edge\passport_edge_00197_p01.jpg,1
data\pages\filler_text\passport_edge_00197_p02.jpg,0
data\pages\filler_text\passport_normal_00198_p01.jpg,0
data\pages\filler_text\passport_normal_00198_p02.jpg,0
data\pages\passport_normal\passport_normal_00198_p03.jpg,1
data\pages\filler_text\passport_edge_00199_p01.jpg,0
data\pages\filler_text\passport_edge_00199_p02.jpg,0
data\pages\passport_edge\passport_edge_00199_p03.jpg,1
data\pages\filler_text\passport_normal_00200_p01.jpg,0
data\pages\passport_normal\passport_normal_00200_p02.jpg,1
data\pages\passport_edge\passport_edge_00201_p01.jpg,1
data\pages\filler_text\passport_edge_00201_p02.jpg,0
data\pages\filler_text\passport_normal_00202_p01.jpg,0
data\pages\filler_text\passport_normal_00202_p02.jpg,0
data\pages\passport_normal\passport_normal_00202_p04.jpg,1
data\pages\filler_text\passport_edge_00203_p01.jpg,0
data\pages\passport_edge\passport_edge_00203_p02.jpg,1
data\pages\filler_text\passport_edge_00203_p03.jpg,0
data\pages\filler_text\passport_normal_00204_p01.jpg,0
data\pages\filler_text\passport_normal_00204_p02.jpg,0
data\pages\passport_normal\passport_normal_00204_p03.jpg,1
data\pages\filler_text\passport_edge_00205_p01.jpg,0
data\pages\passport_edge\passport_edge_00205_p02.jpg,1
data\pages\filler_text\passport_edge_00205_p03.jpg,0
data\pages\filler_text\passport_normal_00206_p01.jpg,0
data\pages\passport_normal\passport_normal_00206_p02.jpg,1
data\pages\filler_text\passport_edge_00207_p01.jpg,0
data\pages\passport_edge\passport_edge_00207_p02.jpg,1
data\pages\filler_text\passport_edge_00207_p03.jpg,0
data\pages\filler_text\passport_normal_00208_p01.jpg,0
data\pages\passport_normal\passport_normal_00208_p02.jpg,1
data\pages\filler_text\passport_normal_00208_p03.jpg,0
data\pages\filler_text\passport_edge_00209_p01.jpg,0
data\pages\filler_text\passport_edge_00209_p02.jpg,0
data\pages\passport_edge\passport_edge_00209_p03.jpg,1
data\pages\filler_text\passport_normal_00210_p01.jpg,0
data\pages\passport_normal\passport_normal_00210_p02.jpg,1
data\pages\filler_text\passport_normal_00210_p03.jpg,0
data\pages\filler_text\passport_edge_00211_p01.jpg,0
data\pages\filler_text\passport_edge_00211_p02.jpg,0
data\pages\passport_edge\passport_edge_00211_p03.jpg,1
data\pages\passport_normal\passport_normal_00212_p01.jpg,1
data\pages\filler_text\passport_normal_00212_p02.jpg,0
data\pages\filler_text\passport_edge_00213_p01.jpg,0
data\pages\passport_edge\passport_edge_00213_p02.jpg,1
data\pages\filler_text\passport_edge_00213_p03.jpg,0
data\pages\passport_normal\passport_normal_00214_p01.jpg,1
data\pages\filler_text\passport_normal_00214_p02.jpg,0
data\pages\filler_text\passport_normal_00214_p03.jpg,0
data\pages\filler_text\passport_edge_00215_p01.jpg,0
data\pages\passport_edge\passport_edge_00215_p02.jpg,1
data\pages\filler_text\passport_edge_00215_p03.jpg,0
data\pages\passport_normal\passport_normal_00216_p01.jpg,1
data\pages\filler_text\passport_normal_00216_p02.jpg,0
data\pages\filler_text\passport_normal_00216_p03.jpg,0
data\pages\filler_text\passport_edge_00217_p01.jpg,0
data\pages\passport_edge\passport_edge_00217_p02.jpg,1
data\pages\filler_text\passport_edge_00217_p03.jpg,0
data\pages\filler_text\passport_normal_00218_p01.jpg,0
data\pages\passport_normal\passport_normal_00218_p02.jpg,1
data\pages\filler_text\passport_normal_00218_p03.jpg,0
data\pages\passport_edge\passport_edge_00219_p01.jpg,1
data\pages\filler_text\passport_edge_00219_p02.jpg,0
data\pages\filler_text\passport_edge_00219_p03.jpg,0
data\pages\filler_text\passport_normal_00220_p01.jpg,0
data\pages\passport_normal\passport_normal_00220_p02.jpg,1
data\pages\filler_text\passport_edge_00221_p01.jpg,0
data\pages\passport_edge\passport_edge_00221_p02.jpg,1
data\pages\filler_text\passport_edge_00221_p03.jpg,0
data\pages\passport_normal\passport_normal_00222_p01.jpg,1
data\pages\filler_text\passport_normal_00222_p02.jpg,0
data\pages\filler_text\passport_normal_00222_p03.jpg,0
data\pages\passport_edge\passport_edge_00223_p01.jpg,1
data\pages\filler_text\passport_edge_00223_p02.jpg,0
data\pages\filler_text\passport_normal_00224_p01.jpg,0
data\pages\filler_text\passport_normal_00224_p02.jpg,0
data\pages\passport_normal\passport_normal_00224_p03.jpg,1
data\pages\passport_edge\passport_edge_00225_p01.jpg,1
data\pages\filler_text\passport_edge_00225_p02.jpg,0
data\pages\filler_text\passport_normal_00226_p01.jpg,0
data\pages\filler_text\passport_normal_00226_p02.jpg,0
data\pages\passport_normal\passport_normal_00226_p03.jpg,1
data\pages\filler_text\passport_edge_00227_p01.jpg,0
data\pages\passport_edge\passport_edge_00227_p02.jpg,1
data\pages\filler_text\passport_edge_00227_p03.jpg,0
data\pages\filler_text\passport_normal_00228_p01.jpg,0
data\pages\filler_text\passport_normal_00228_p02.jpg,0
data\pages\passport_normal\passport_normal_00228_p03.jpg,1
data\pages\passport_edge\passport_edge_00229_p01.jpg,1
data\pages\filler_text\passport_edge_00229_p02.jpg,0
data\pages\filler_text\passport_edge_00229_p03.jpg,0
data\pages\filler_text\passport_normal_00230_p01.jpg,0
data\pages\passport_normal\passport_normal_00230_p02.jpg,1
data\pages\filler_text\passport_edge_00231_p01.jpg,0
data\pages\passport_edge\passport_edge_00231_p02.jpg,1
data\pages\filler_text\passport_normal_00232_p01.jpg,0
data\pages\filler_text\passport_normal_00232_p02.jpg,0
data\pages\passport_normal\passport_normal_00232_p03.jpg,1
data\pages\filler_text\passport_edge_00233_p01.jpg,0
data\pages\filler_text\passport_edge_00233_p02.jpg,0
data\pages\passport_edge\passport_edge_00233_p04.jpg,1
data\pages\filler_text\passport_normal_00234_p01.jpg,0
data\pages\passport_normal\passport_normal_00234_p02.jpg,1
data\pages\filler_text\passport_normal_00234_p03.jpg,0
data\pages\filler_text\passport_edge_00235_p01.jpg,0
data\pages\passport_edge\passport_edge_00235_p02.jpg,1
data\pages\filler_text\passport_edge_00235_p03.jpg,0
data\pages\passport_normal\passport_normal_00236_p01.jpg,1
data\pages\filler_text\passport_normal_00236_p02.jpg,0
data\pages\filler_text\passport_edge_00237_p01.jpg,0
data\pages\filler_text\passport_edge_00237_p02.jpg,0
data\pages\passport_edge\passport_edge_00237_p03.jpg,1
data\pages\filler_text\passport_normal_00238_p01.jpg,0
data\pages\passport_normal\passport_normal_00238_p02.jpg,1
data\pages\filler_text\passport_normal_00238_p03.jpg,0
data\pages\filler_text\passport_edge_00239_p01.jpg,0
data\pages\filler_text\passport_edge_00239_p02.jpg,0
data\pages\passport_edge\passport_edge_00239_p03.jpg,1
data\pages\passport_normal\passport_normal_00240_p01.jpg,1
data\pages\filler_text\passport_normal_00240_p02.jpg,0
data\pages\filler_text\passport_normal_00240_p03.jpg,0
data\pages\filler_text\passport_edge_00241_p01.jpg,0
data\pages\filler_text\passport_edge_00241_p02.jpg,0
data\pages\passport_edge\passport_edge_00241_p04.jpg,1
data\pages\filler_text\passport_normal_00242_p01.jpg,0
data\pages\filler_text\passport_normal_00242_p02.jpg,0
data\pages\passport_normal\passport_normal_00242_p03.jpg,1
data\pages\passport_edge\passport_edge_00243_p01.jpg,1
data\pages\filler_text\passport_edge_00243_p02.jpg,0
data\pages\filler_text\passport_edge_00243_p03.jpg,0
data\pages\negative_normal\negative_normal_00244_p01.jpg,0
data\pages\negative_normal\negative_normal_00244_p02.jpg,0
data\pages\negative_normal\negative_normal_00244_p03.jpg,0
data\pages\negative_edge\negative_edge_00245_p01.jpg,0
data\pages\negative_edge\negative_edge_00245_p02.jpg,0
data\pages\negative_edge\negative_edge_00245_p04.jpg,0
data\pages\negative_normal\negative_normal_00246_p01.jpg,0
data\pages\negative_normal\negative_normal_00246_p02.jpg,0
data\pages\negative_normal\negative_normal_00246_p03.jpg,0
data\pages\negative_edge\negative_edge_00247_p01.jpg,0
data\pages\negative_edge\negative_edge_00247_p02.jpg,0
data\pages\negative_normal\negative_normal_00248_p01.jpg,0
data\pages\negative_normal\negative_normal_00248_p02.jpg,0
data\pages\negative_normal\negative_normal_00248_p03.jpg,0
data\pages\negative_edge\negative_edge_00249_p01.jpg,0
data\pages\negative_edge\negative_edge_00249_p02.jpg,0
data\pages\negative_edge\negative_edge_00249_p03.jpg,0
data\pages\negative_normal\negative_normal_00250_p01.jpg,0
data\pages\negative_normal\negative_normal_00250_p02.jpg,0
data\pages\negative_edge\negative_edge_00251_p01.jpg,0
data\pages\negative_edge\negative_edge_00251_p02.jpg,0
data\pages\negative_normal\negative_normal_00252_p01.jpg,0
data\pages\negative_normal\negative_normal_00252_p02.jpg,0
data\pages\negative_normal\negative_normal_00252_p03.jpg,0
data\pages\negative_edge\negative_edge_00253_p01.jpg,0
data\pages\negative_edge\negative_edge_00253_p02.jpg,0
data\pages\negative_edge\negative_edge_00253_p03.jpg,0
data\pages\negative_normal\negative_normal_00254_p01.jpg,0
data\pages\negative_normal\negative_normal_00254_p02.jpg,0
data\pages\negative_edge\negative_edge_00255_p01.jpg,0
data\pages\negative_edge\negative_edge_00255_p02.jpg,0
data\pages\negative_edge\negative_edge_00255_p03.jpg,0
data\pages\negative_normal\negative_normal_00256_p01.jpg,0
data\pages\negative_normal\negative_normal_00256_p02.jpg,0
data\pages\negative_normal\negative_normal_00256_p03.jpg,0
data\pages\negative_edge\negative_edge_00257_p01.jpg,0
data\pages\negative_edge\negative_edge_00257_p02.jpg,0
data\pages\negative_edge\negative_edge_00257_p03.jpg,0
data\pages\negative_normal\negative_normal_00258_p01.jpg,0
data\pages\negative_normal\negative_normal_00258_p02.jpg,0
data\pages\negative_edge\negative_edge_00259_p01.jpg,0
data\pages\negative_edge\negative_edge_00259_p02.jpg,0
data\pages\negative_normal\negative_normal_00260_p01.jpg,0
data\pages\negative_normal\negative_normal_00260_p02.jpg,0
data\pages\negative_normal\negative_normal_00260_p03.jpg,0
data\pages\negative_edge\negative_edge_00261_p01.jpg,0
data\pages\negative_edge\negative_edge_00261_p02.jpg,0
data\pages\negative_edge\negative_edge_00261_p03.jpg,0
data\pages\negative_normal\negative_normal_00262_p01.jpg,0
data\pages\negative_normal\negative_normal_00262_p02.jpg,0
data\pages\negative_normal\negative_normal_00262_p03.jpg,0
data\pages\negative_edge\negative_edge_00263_p01.jpg,0
data\pages\negative_edge\negative_edge_00263_p02.jpg,0
data\pages\negative_edge\negative_edge_00263_p03.jpg,0
data\pages\negative_normal\negative_normal_00264_p01.jpg,0
data\pages\negative_normal\negative_normal_00264_p02.jpg,0
data\pages\negative_normal\negative_normal_00264_p03.jpg,0
data\pages\negative_edge\negative_edge_00265_p01.jpg,0
data\pages\negative_edge\negative_edge_00265_p02.jpg,0
data\pages\negative_edge\negative_edge_00265_p03.jpg,0
data\pages\negative_normal\negative_normal_00266_p01.jpg,0
data\pages\negative_normal\negative_normal_00266_p02.jpg,0
data\pages\negative_edge\negative_edge_00267_p01.jpg,0
data\pages\negative_edge\negative_edge_00267_p02.jpg,0
data\pages\negative_edge\negative_edge_00267_p03.jpg,0
data\pages\negative_normal\negative_normal_00268_p01.jpg,0
data\pages\negative_normal\negative_normal_00268_p02.jpg,0
data\pages\negative_normal\negative_normal_00268_p03.jpg,0
data\pages\negative_edge\negative_edge_00269_p01.jpg,0
data\pages\negative_edge\negative_edge_00269_p02.jpg,0
data\pages\negative_normal\negative_normal_00270_p01.jpg,0
data\pages\negative_normal\negative_normal_00270_p02.jpg,0
data\pages\negative_normal\negative_normal_00270_p03.jpg,0
data\pages\negative_edge\negative_edge_00271_p01.jpg,0
data\pages\negative_edge\negative_edge_00271_p02.jpg,0
data\pages\negative_normal\negative_normal_00272_p01.jpg,0
data\pages\negative_normal\negative_normal_00272_p02.jpg,0
data\pages\negative_edge\negative_edge_00273_p01.jpg,0
data\pages\negative_edge\negative_edge_00273_p02.jpg,0
data\pages\negative_edge\negative_edge_00273_p03.jpg,0
data\pages\negative_normal\negative_normal_00274_p01.jpg,0
data\pages\negative_normal\negative_normal_00274_p02.jpg,0
data\pages\negative_normal\negative_normal_00274_p03.jpg,0
data\pages\negative_edge\negative_edge_00275_p01.jpg,0
data\pages\negative_edge\negative_edge_00275_p02.jpg,0
data\pages\negative_edge\negative_edge_00275_p03.jpg,0
data\pages\negative_normal\negative_normal_00276_p01.jpg,0
data\pages\negative_normal\negative_normal_00276_p02.jpg,0
data\pages\negative_edge\negative_edge_00277_p01.jpg,0
data\pages\negative_edge\negative_edge_00277_p02.jpg,0
data\pages\negative_edge\negative_edge_00277_p03.jpg,0
data\pages\negative_normal\negative_normal_00278_p01.jpg,0
data\pages\negative_normal\negative_normal_00278_p02.jpg,0
data\pages\negative_normal\negative_normal_00278_p03.jpg,0
data\pages\negative_edge\negative_edge_00279_p01.jpg,0
data\pages\negative_edge\negative_edge_00279_p02.jpg,0
data\pages\negative_edge\negative_edge_00279_p03.jpg,0
data\pages\negative_normal\negative_normal_00280_p01.jpg,0
data\pages\negative_normal\negative_normal_00280_p02.jpg,0
data\pages\negative_normal\negative_normal_00280_p04.jpg,0
data\pages\negative_edge\negative_edge_00281_p01.jpg,0
data\pages\negative_edge\negative_edge_00281_p02.jpg,0
data\pages\negative_edge\negative_edge_00281_p03.jpg,0
data\pages\negative_normal\negative_normal_00282_p01.jpg,0
data\pages\negative_normal\negative_normal_00282_p02.jpg,0
data\pages\negative_normal\negative_normal_00282_p04.jpg,0
data\pages\negative_edge\negative_edge_00283_p01.jpg,0
data\pages\negative_edge\negative_edge_00283_p02.jpg,0
data\pages\negative_edge\negative_edge_00283_p03.jpg,0
data\pages\negative_normal\negative_normal_00284_p01.jpg,0
data\pages\negative_normal\negative_normal_00284_p02.jpg,0
data\pages\negative_edge\negative_edge_00285_p01.jpg,0
data\pages\negative_edge\negative_edge_00285_p02.jpg,0
data\pages\negative_edge\negative_edge_00285_p03.jpg,0
data\pages\negative_normal\negative_normal_00286_p01.jpg,0
data\pages\negative_normal\negative_normal_00286_p02.jpg,0
data\pages\negative_normal\negative_normal_00286_p03.jpg,0
data\pages\negative_edge\negative_edge_00287_p01.jpg,0
data\pages\negative_edge\negative_edge_00287_p02.jpg,0
data\pages\negative_edge\negative_edge_00287_p03.jpg,0
data\pages\negative_normal\negative_normal_00288_p01.jpg,0
data\pages\negative_normal\negative_normal_00288_p02.jpg,0
data\pages\negative_normal\negative_normal_00288_p03.jpg,0
data\pages\negative_edge\negative_edge_00289_p01.jpg,0
data\pages\negative_edge\negative_edge_00289_p02.jpg,0
data\pages\negative_normal\negative_normal_00290_p01.jpg,0
data\pages\negative_normal\negative_normal_00290_p02.jpg,0
data\pages\negative_normal\negative_normal_00290_p03.jpg,0
data\pages\negative_edge\negative_edge_00291_p01.jpg,0
data\pages\negative_edge\negative_edge_00291_p02.jpg,0
data\pages\negative_edge\negative_edge_00291_p03.jpg,0
data\pages\negative_normal\negative_normal_00292_p01.jpg,0
data\pages\negative_normal\negative_normal_00292_p02.jpg,0
data\pages\negative_edge\negative_edge_00293_p01.jpg,0
data\pages\negative_edge\negative_edge_00293_p02.jpg,0
data\pages\negative_normal\negative_normal_00294_p01.jpg,0
data\pages\negative_normal\negative_normal_00294_p02.jpg,0
data\pages\negative_normal\negative_normal_00294_p03.jpg,0
data\pages\negative_edge\negative_edge_00295_p01.jpg,0
data\pages\negative_edge\negative_edge_00295_p02.jpg,0
data\pages\negative_edge\negative_edge_00295_p03.jpg,0
data\pages\negative_normal\negative_normal_00296_p01.jpg,0
data\pages\negative_normal\negative_normal_00296_p02.jpg,0
data\pages\negative_normal\negative_normal_00296_p03.jpg,0
data\pages\negative_edge\negative_edge_00297_p01.jpg,0
data\pages\negative_edge\negative_edge_00297_p02.jpg,0
data\pages\negative_normal\negative_normal_00298_p01.jpg,0
data\pages\negative_normal\negative_normal_00298_p02.jpg,0
data\pages\negative_normal\negative_normal_00298_p03.jpg,0
data\pages\negative_edge\negative_edge_00299_p01.jpg,0
data\pages\negative_edge\negative_edge_00299_p02.jpg,0
data\pages\negative_edge\negative_edge_00299_p03.jpg,0
data\pages\negative_normal\negative_normal_00300_p01.jpg,0
data\pages\negative_normal\negative_normal_00300_p02.jpg,0
data\pages\negative_normal\negative_normal_00300_p03.jpg,0
data\pages\negative_edge\negative_edge_00301_p01.jpg,0
data\pages\negative_edge\negative_edge_00301_p02.jpg,0
data\pages\negative_edge\negative_edge_00301_p03.jpg,0
data\pages\negative_normal\negative_normal_00302_p01.jpg,0
data\pages\negative_normal\negative_normal_00302_p02.jpg,0
data\pages\negative_edge\negative_edge_00303_p01.jpg,0
data\pages\negative_edge\negative_edge_00303_p02.jpg,0
data\pages\negative_edge\negative_edge_00303_p03.jpg,0
data\pages\negative_normal\negative_normal_00304_p01.jpg,0
data\pages\negative_normal\negative_normal_00304_p02.jpg,0
data\pages\negative_edge\negative_edge_00305_p01.jpg,0
data\pages\negative_edge\negative_edge_00305_p02.jpg,0
data\pages\negative_edge\negative_edge_00305_p03.jpg,0
data\pages\negative_normal\negative_normal_00306_p01.jpg,0
data\pages\negative_normal\negative_normal_00306_p02.jpg,0
data\pages\negative_normal\negative_normal_00306_p03.jpg,0
data\pages\negative_edge\negative_edge_00307_p01.jpg,0
data\pages\negative_edge\negative_edge_00307_p02.jpg,0
data\pages\negative_edge\negative_edge_00307_p03.jpg,0
data\pages\negative_normal\negative_normal_00308_p01.jpg,0
data\pages\negative_normal\negative_normal_00308_p02.jpg,0
data\pages\negative_edge\negative_edge_00309_p01.jpg,0
data\pages\negative_edge\negative_edge_00309_p02.jpg,0
data\pages\negative_edge\negative_edge_00309_p03.jpg,0
data\pages\negative_normal\negative_normal_00310_p01.jpg,0
data\pages\negative_normal\negative_normal_00310_p02.jpg,0
data\pages\negative_normal\negative_normal_00310_p03.jpg,0
data\pages\negative_edge\negative_edge_00311_p01.jpg,0
data\pages\negative_edge\negative_edge_00311_p02.jpg,0
data\pages\negative_normal\negative_normal_00312_p01.jpg,0
data\pages\negative_normal\negative_normal_00312_p02.jpg,0
data\pages\negative_edge\negative_edge_00313_p01.jpg,0
data\pages\negative_edge\negative_edge_00313_p02.jpg,0
data\pages\negative_edge\negative_edge_00313_p03.jpg,0
data\pages\negative_normal\negative_normal_00314_p01.jpg,0
data\pages\negative_normal\negative_normal_00314_p02.jpg,0
data\pages\negative_normal\negative_normal_00314_p03.jpg,0
data\pages\negative_edge\negative_edge_00315_p01.jpg,0
data\pages\negative_edge\negative_edge_00315_p02.jpg,0
data\pages\negative_normal\negative_normal_00316_p01.jpg,0
data\pages\negative_normal\negative_normal_00316_p02.jpg,0
data\pages\negative_edge\negative_edge_00317_p01.jpg,0
data\pages\negative_edge\negative_edge_00317_p02.jpg,0
data\pages\negative_normal\negative_normal_00318_p01.jpg,0
data\pages\negative_normal\negative_normal_00318_p02.jpg,0
data\pages\negative_normal\negative_normal_00318_p03.jpg,0
data\pages\negative_edge\negative_edge_00319_p01.jpg,0
data\pages\negative_edge\negative_edge_00319_p02.jpg,0
data\pages\negative_normal\negative_normal_00320_p01.jpg,0
data\pages\negative_normal\negative_normal_00320_p02.jpg,0
data\pages\negative_normal\negative_normal_00320_p03.jpg,0
data\pages\negative_edge\negative_edge_00321_p01.jpg,0
data\pages\negative_edge\negative_edge_00321_p02.jpg,0
data\pages\negative_edge\negative_edge_00321_p03.jpg,0
